IPACX RIS - DAILY AUDIT LOG
Date: 2026-03-27
Total Rows: 288

TIME | USER | ROLE | EVENT | PAGE | IP | SESSION | DETAILS
--------------------------------------------------------------------------------------------------------------------------------
27/3/2026, 10:28:37 am | admin | ADMIN | LOGIN_SUCCESS | / | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"user_id":1}
27/3/2026, 10:28:37 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/dashboard"}
27/3/2026, 10:28:37 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/dashboard"}
27/3/2026, 10:28:44 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/patient-list"}
27/3/2026, 10:28:44 am | admin | ADMIN | CLICK | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Patient List"}
27/3/2026, 10:28:44 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/patient-list"}
27/3/2026, 10:28:45 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/dashboard"}
27/3/2026, 10:28:45 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/dashboard"}
27/3/2026, 10:28:45 am | admin | ADMIN | CLICK | /dashboard | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Dashboard"}
27/3/2026, 10:28:50 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/patient-list"}
27/3/2026, 10:28:50 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/patient-list"}
27/3/2026, 10:28:50 am | admin | ADMIN | CLICK | /patient-list | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Patient List"}
27/3/2026, 10:28:50 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/scheduling"}
27/3/2026, 10:28:50 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/scheduling"}
27/3/2026, 10:28:50 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Scheduling"}
27/3/2026, 10:28:52 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"←"}
27/3/2026, 10:28:52 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"←"}
27/3/2026, 10:28:53 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/mwls"}
27/3/2026, 10:28:53 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/mwls"}
27/3/2026, 10:28:53 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Modality WorkList"}
27/3/2026, 10:28:55 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"mwl-icon-btn"}
27/3/2026, 10:28:56 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"Confirm and Broadcast"}
27/3/2026, 10:29:24 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"mwl-icon-btn"}
27/3/2026, 10:29:24 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"BUTTON","label":"Confirm and Broadcast"}
27/3/2026, 10:29:25 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/pacspage"}
27/3/2026, 10:29:25 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/pacspage"}
27/3/2026, 10:29:25 am | admin | ADMIN | CLICK | /pacspage | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"PACS Page"}
27/3/2026, 10:29:26 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/reporting"}
27/3/2026, 10:29:26 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/reporting"}
27/3/2026, 10:29:26 am | admin | ADMIN | CLICK | /reporting | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"Reporting"}
27/3/2026, 10:29:27 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/admin/user-management"}
27/3/2026, 10:29:27 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"pathname":"/admin/user-management"}
27/3/2026, 10:29:27 am | admin | ADMIN | CLICK | /admin/user-management | 127.0.0.1 | 02e557d6-c70c-4032-b0e4-0fd8e2f10294 | {"tag":"A","label":"User Management"}
