IPACX RIS - DAILY AUDIT LOG
Date: 2026-03-30
Total Rows: 312

TIME | USER | ROLE | EVENT | PAGE | IP | SESSION | DETAILS
--------------------------------------------------------------------------------------------------------------------------------
30/3/2026, 10:34:56 am | admin | ADMIN | LOGIN_SUCCESS | / | 127.0.0.1 | 31be393d-d2a4-4c12-aee4-3365c31c8f10 | {"user_id":1}
30/3/2026, 10:34:56 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 31be393d-d2a4-4c12-aee4-3365c31c8f10 | {"pathname":"/dashboard"}
30/3/2026, 10:34:56 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 31be393d-d2a4-4c12-aee4-3365c31c8f10 | {"pathname":"/dashboard"}
30/3/2026, 10:43:50 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | - | {"pathname":"/dashboard"}
30/3/2026, 10:43:50 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | - | {"pathname":"/dashboard"}
30/3/2026, 10:43:51 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:43:51 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:43:51 am | admin | ADMIN | CLICK | /admin/user-management | 127.0.0.1 | - | {"tag":"A","label":"User Management"}
30/3/2026, 10:43:53 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | - | {"pathname":"/admin/templates"}
30/3/2026, 10:43:53 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | - | {"pathname":"/admin/templates"}
30/3/2026, 10:43:53 am | admin | ADMIN | CLICK | /admin/templates | 127.0.0.1 | - | {"tag":"A","label":"Template Management"}
30/3/2026, 10:43:54 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:43:54 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:43:54 am | admin | ADMIN | CLICK | /admin/pacs-management | 127.0.0.1 | - | {"tag":"A","label":"PACS Management"}
30/3/2026, 10:43:56 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | - | {"pathname":"/admin/mwls-management"}
30/3/2026, 10:43:56 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | - | {"tag":"A","label":"MWLS Management"}
30/3/2026, 10:43:56 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | - | {"pathname":"/admin/mwls-management"}
30/3/2026, 10:43:58 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | - | {"tag":"BUTTON","label":"Test MWL"}
30/3/2026, 10:45:49 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | - | {"tag":"BUTTON","label":"Test MWL"}
30/3/2026, 10:46:00 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | - | {"pathname":"/dashboard"}
30/3/2026, 10:46:00 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | - | {"pathname":"/dashboard"}
30/3/2026, 10:46:00 am | admin | ADMIN | CLICK | /dashboard | 127.0.0.1 | - | {"tag":"A","label":"Dashboard"}
30/3/2026, 10:46:00 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | - | {"pathname":"/patient-list"}
30/3/2026, 10:46:00 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | - | {"pathname":"/patient-list"}
30/3/2026, 10:46:00 am | admin | ADMIN | CLICK | /patient-list | 127.0.0.1 | - | {"tag":"A","label":"Patient List"}
30/3/2026, 10:46:01 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | - | {"pathname":"/scheduling"}
30/3/2026, 10:46:01 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | - | {"pathname":"/scheduling"}
30/3/2026, 10:46:01 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | - | {"tag":"A","label":"Scheduling"}
30/3/2026, 10:46:03 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | - | {"tag":"BUTTON","label":"←"}
30/3/2026, 10:46:03 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | - | {"tag":"BUTTON","label":"←"}
30/3/2026, 10:46:05 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:46:05 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:46:05 am | admin | ADMIN | CLICK | /admin/user-management | 127.0.0.1 | - | {"tag":"A","label":"User Management"}
30/3/2026, 10:46:06 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | - | {"pathname":"/admin/templates"}
30/3/2026, 10:46:06 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | - | {"pathname":"/admin/templates"}
30/3/2026, 10:46:06 am | admin | ADMIN | CLICK | /admin/templates | 127.0.0.1 | - | {"tag":"A","label":"Template Management"}
30/3/2026, 10:46:07 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:46:07 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:46:07 am | admin | ADMIN | CLICK | /admin/pacs-management | 127.0.0.1 | - | {"tag":"A","label":"PACS Management"}
30/3/2026, 10:46:09 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | - | {"pathname":"/admin/mwls-management"}
30/3/2026, 10:46:09 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | - | {"pathname":"/admin/mwls-management"}
30/3/2026, 10:46:09 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | - | {"tag":"A","label":"MWLS Management"}
30/3/2026, 10:47:21 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:47:21 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | - | {"pathname":"/admin/user-management"}
30/3/2026, 10:47:21 am | admin | ADMIN | CLICK | /admin/user-management | 127.0.0.1 | - | {"tag":"A","label":"User Management"}
30/3/2026, 10:47:32 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:47:32 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | - | {"pathname":"/admin/pacs-management"}
30/3/2026, 10:47:32 am | admin | ADMIN | CLICK | /admin/pacs-management | 127.0.0.1 | - | {"tag":"A","label":"PACS Management"}
30/3/2026, 10:47:35 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | - | {"pathname":"/admin/mwls-management"}
