IPACX RIS - DAILY AUDIT LOG
Date: 2026-03-17
Total Rows: 730

TIME | USER | ROLE | EVENT | PAGE | IP | SESSION | DETAILS
--------------------------------------------------------------------------------------------------------------------------------
17/3/2026, 10:28:31 am | admin | ADMIN | LOGIN_FAILED | - | 127.0.0.1 | - | {"reason":"invalid_password"}
17/3/2026, 10:28:39 am | admin | ADMIN | LOGIN_SUCCESS | / | 127.0.0.1 | 1b1f408d-a1df-4fcb-8a40-6db32e4a4805 | {"user_id":1}
17/3/2026, 10:28:39 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 1b1f408d-a1df-4fcb-8a40-6db32e4a4805 | {"pathname":"/dashboard"}
17/3/2026, 10:28:39 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 1b1f408d-a1df-4fcb-8a40-6db32e4a4805 | {"pathname":"/dashboard"}
17/3/2026, 10:43:41 am | admin | ADMIN | LOGOUT | /dashboard | 127.0.0.1 | 1b1f408d-a1df-4fcb-8a40-6db32e4a4805 | {"reason":"user_initiated_or_timeout"}
17/3/2026, 10:49:44 am | admin | ADMIN | LOGIN_SUCCESS | / | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"user_id":1}
17/3/2026, 10:49:44 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/dashboard"}
17/3/2026, 10:49:44 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/dashboard"}
17/3/2026, 10:52:08 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/patient-list"}
17/3/2026, 10:52:08 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/patient-list"}
17/3/2026, 10:52:08 am | admin | ADMIN | CLICK | /patient-list | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"tag":"A","label":"Patient List"}
17/3/2026, 10:52:09 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/scheduling"}
17/3/2026, 10:52:09 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/scheduling"}
17/3/2026, 10:52:09 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"tag":"A","label":"Scheduling"}
17/3/2026, 10:52:10 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/mwls"}
17/3/2026, 10:52:10 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/mwls"}
17/3/2026, 10:52:10 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"tag":"A","label":"Modality WorkList"}
17/3/2026, 10:52:12 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/admin/mwls-management"}
17/3/2026, 10:52:12 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | c7c8cdeb-8f7a-4f65-b11c-8b2f942b8a51 | {"pathname":"/admin/mwls-management"}
